"시도별(17개)","규모별","직종별",2020.1/2,2020.1/2,2020.1/2,2020.1/2,2020.1/2,2020.1/2,2020.1/2,2020.2/2,2020.2/2,2020.2/2,2020.2/2,2020.2/2,2020.2/2,2020.2/2
"시도별(17개)","규모별","직종별",현원 (명),구인인원 (명),채용인원 (명),미충원인원 (명),부족인원 (명),채용계획인원 (명),부족률 (%),현원 (명),구인인원 (명),채용인원 (명),미충원인원 (명),부족인원 (명),채용계획인원 (명),부족률 (%)
"전국","전규모(5인이상)","전직종",12452413,798171,738176,59995,226167,240863,1.8,12515581,631476,564288,67188,244689,260610,1.9
"서울특별시","전규모(5인이상)","전직종",3302771,220449,203282,17167,61463,62602,1.8,3342570,182300,164220,18080,70727,71767,2.1
"부산광역시","전규모(5인이상)","전직종",740397,48598,44718,3880,9701,11104,1.3,741079,36999,31988,5011,11612,12228,1.5
"대구광역시","전규모(5인이상)","전직종",448059,31316,29090,2226,6458,8561,1.4,450452,21183,19338,1845,5943,7967,1.3
"인천광역시","전규모(5인이상)","전직종",575392,31041,29495,1546,8203,8422,1.4,585460,26989,23919,3070,9414,10151,1.6
"광주광역시","전규모(5인이상)","전직종",318142,24100,22815,1285,4626,4699,1.4,315554,14853,13633,1220,5844,6162,1.8
"대전광역시","전규모(5인이상)","전직종",335967,23553,20747,2806,7588,8065,2.2,347655,16480,14463,2017,6760,7080,1.9
"울산광역시","전규모(5인이상)","전직종",315246,13429,12753,676,3239,3084,1.0,314121,8898,8336,562,2863,2864,0.9
"세종특별자치시","전규모(5인이상)","전직종",55768,3835,3450,385,1358,1317,2.4,57393,2635,2277,358,1308,1331,2.2
"경기도","전규모(5인이상)","전직종",3017553,195024,179906,15118,68717,70958,2.2,3007563,153749,138585,15164,70034,70714,2.3
"강원도","전규모(5인이상)","전직종",280315,19030,17463,1567,5540,7307,1.9,286598,20615,18976,1639,6865,8593,2.3
"충청북도","전규모(5인이상)","전직종",409014,32714,30987,1727,7757,9859,1.9,412415,31436,27527,3909,8814,12643,2.1
"충청남도","전규모(5인이상)","전직종",539448,35305,32517,2788,9398,9187,1.7,546278,20653,17933,2720,10040,10452,1.8
"전라북도","전규모(5인이상)","전직종",331980,26828,25731,1097,6643,7824,2.0,334719,17753,15908,1845,6264,7894,1.8
"전라남도","전규모(5인이상)","전직종",363985,20276,19648,628,4983,5440,1.4,366406,14976,13476,1500,4709,5241,1.3
"경상북도","전규모(5인이상)","전직종",576140,27058,24559,2499,7900,9642,1.4,573885,25095,20906,4189,10092,11583,1.7
"경상남도","전규모(5인이상)","전직종",724005,40221,35959,4262,10648,10818,1.4,713172,31372,27823,3549,11248,11576,1.6
"제주특별자치도","전규모(5인이상)","전직종",118231,5395,5056,339,1946,1972,1.6,120263,5488,4981,507,2152,2365,1.8
